Norte,Leste,Elevacao,Data,Prisma,Latitude,Longitude
7768197.995,657642.1445,984.3606,16/02/2024,PM-56,-20.177160229039075,-43.49141894020346
7768158.4472,657612.4726,983.645,16/02/2024,PM-57,-20.177519913131313,-43.491699379953765
7768110.5317,657575.0763,983.9856,16/02/2024,PM-58,-20.177955818915105,-43.49205299503325
7768160.6927,657648.8679,990.777,16/02/2024,PM-59,-20.177496642361273,-43.49135137429244
7768116.2962,657608.169,989.1525,16/02/2024,PM-60,-20.177901031349837,-43.49173689077468
7768171.4523,657672.9842,998.7125,16/02/2024,PM-61,-20.17739746784491,-43.49112158436795
7768134.5994,657640.9543,998.4368,16/02/2024,PM-62,-20.17773300188749,-43.49142481747162
7768083.1847,657599.0118,998.5244,16/02/2024,PM-63,-20.178200890701987,-43.49182162269989
7768426.9127,658199.7614,963.6662,15/02/2024,EL,-20.175046500424315,-43.486104095662405
7768426.3005,658298.9076,941.2019,15/02/2024,PM-30,-20.175043864502918,-43.48515550907269
7768454.1524,658257.8005,941.7742,15/02/2024,PM-31,-20.17479565530489,-43.485551210914835
7768484.3949,658216.5803,941.898,15/02/2024,PM-32,-20.1745258593433,-43.48594820204959
7768515.2698,658175.7808,940.9857,15/02/2024,PM-33,-20.17425031507217,-43.486341222160966
7768367.7421,658257.9731,964.7583,15/02/2024,PM-34,-20.175576214382765,-43.48554202155976
7768396.5718,658216.8574,965.2283,15/02/2024,PM-35,-20.17531917228684,-43.48593789181127
7768426.8758,658176.939,965.0525,15/02/2024,PM-36,-20.17504871278693,-43.48632243475149
7768459.8926,658132.9234,964.6752,15/02/2024,PM-37,-20.174754083918963,-43.486746410780036
7768609.35,658436.91,915.395,15/02/2024,BCGMR-04,-20.173378942931503,-43.48385122440344
7768384.985,658271.7171,958.3147,15/02/2024,PM-04,-20.17541932132322,-43.485412036430475
7768459.6562,658322.1334,924.7301,15/02/2024,PM-19,-20.174740637603403,-43.48493621850435
7768442.8305,658284.6932,939.2249,15/02/2024,PM-21,-20.174895714545137,-43.4852929406612
7768415.1461,658239.121,956.4072,15/02/2024,PM-03,-20.175149550865783,-43.48572651538413
7768446.582,658243.631,947.1873,15/02/2024,PM-06,-20.174865208339547,-43.48568611018107
7768473.7896,658278.9151,931.0106,15/02/2024,PM-17,-20.17461652660123,-43.48535092080643
7768500.1394,658127.606,955.044,15/02/2024,PM-01,-20.17439095843429,-43.48680079030861
7768453.431,658188.8347,955.8086,15/02/2024,PM-02,-20.17480785128282,-43.48621094389725
7768401.8769,658309.8635,946.4735,15/02/2024,PM-05,-20.175263588352717,-43.485048562527474
7768499.5201,658182.4799,944.173,15/02/2024,PM-07,-20.174392035970172,-43.48627575886066
7768498.9835,658269.6905,924.605,15/02/2024,PM-16,-20.17438970150699,-43.48544137033081
7768476.3218,658296.7978,925.8308,15/02/2024,PM-18,-20.174592179164996,-43.48518005818919
7768474.8843,658244.4175,938.2197,15/02/2024,PM-22,-20.174609479341445,-43.485681054434174
7768501.2565,658211.8796,937.2289,15/02/2024,PM-23,-20.17437392987085,-43.48599464402099
7768530.4625,658179.6574,934.9006,15/02/2024,PM-24,-20.17411275510445,-43.48630545946145
7768502.6329,658240.0881,930.7153,15/02/2024,PM-25,-20.174359173431487,-43.48572489405728
7768525.3294,658214.2317,929.3009,15/02/2024,PM-26,-20.174156277526798,-43.485974240864905
7768124.281,657538.905,985.138,15/02/2024,BCGMR-02,-20.177834583176978,-43.49240024806779
7768178.0335,657588.2413,981.3131,15/02/2024,PM-54,-20.177344970902602,-43.49193290712183
7768155.914,657568.6665,980.175,15/02/2024,PM-55,-20.17754638997574,-43.49211826135158
7768197.9982,657642.1418,984.3554,15/02/2024,PM-56,-20.177160200353878,-43.49141896631293
7768158.4409,657612.475,983.64,15/02/2024,PM-57,-20.177519969844578,-43.49169935644509
